"id","cond","trial.","realPattern","userAnswer","correct","playstamp","playendstamp","enterstamp","reaction_time","diffCount_1","diffCount_2","diffCount_3"
"p5","Approach",96,214,214,1,622945,624449,627305,2856,0,0,0
"p5","Approach",97,124,124,1,628098,629601,632033,2432,0,0,0
"p5","Approach",98,131,131,1,632841,634348,641017,6669,0,0,0
"p5","Approach",99,432,432,1,641841,643345,645657,2312,0,0,0
"p5","Approach",100,213,213,1,646409,647912,652656,4744,0,0,0
"p5","Approach",101,343,121,0,683810,685317,687280,1963,0,0,1
"p5","Approach",102,434,434,1,688146,689657,691769,2112,0,0,0
"p5","Approach",103,142,142,1,692553,694057,696129,2072,0,0,0
"p5","Approach",104,242,242,1,696866,698371,700785,2414,0,0,0
"p5","Approach",105,242,242,1,701514,703016,705561,2545,0,0,0
"p5","Approach",106,421,421,1,706337,707840,710177,2337,0,0,0
"p5","Approach",107,123,143,0,710881,712384,717769,5385,1,0,0
"p5","Approach",108,324,324,1,718929,720432,724897,4465,0,0,0
