"id","cond","trial.","realPattern","userAnswer","correct","playstamp","playendstamp","enterstamp","reaction_time","diffCount_1","diffCount_2","diffCount_3"
"p2","Baseline2",1,212,414,0,3558,5061,6950,1889,0,1,0
"p2","Baseline2",2,412,414,0,7910,9414,13006,3592,1,0,0
"p2","Baseline2",3,421,421,1,13927,15430,18189,2759,0,0,0
"p2","Baseline2",4,213,413,0,19110,20614,22901,2287,1,0,0
"p2","Baseline2",5,342,141,0,23758,25263,27181,1918,0,1,0
"p2","Baseline2",6,432,414,0,27950,29453,31573,2120,0,1,0
"p2","Baseline2",7,231,412,0,32462,33966,36333,2367,0,0,1
"p2","Baseline2",8,321,132,0,37214,38718,43757,5039,0,0,1
"p2","Baseline2",9,124,124,1,44526,46029,49118,3089,0,0,0
"p2","Baseline2",10,432,414,0,49975,51478,54222,2744,0,1,0
"p2","Baseline2",11,421,421,1,55142,56646,58557,1911,0,0,0
"p2","Baseline2",12,123,143,0,59462,60966,63118,2152,1,0,0
"p2","Baseline2",13,242,242,1,64024,65528,69037,3509,0,0,0
"p2","Baseline2",14,243,234,0,69982,71485,80653,9168,0,1,0
"p2","Baseline2",15,123,143,0,81494,83002,84781,1779,1,0,0
"p2","Baseline2",16,314,324,0,85766,87270,89918,2648,1,0,0
"p2","Baseline2",17,423,423,1,90870,92373,94429,2056,0,0,0
"p2","Baseline2",18,424,424,1,95270,96773,99237,2464,0,0,0
"p2","Baseline2",19,342,142,0,100102,101606,103813,2207,1,0,0
"p2","Baseline2",20,324,124,0,104606,106110,114837,8727,1,0,0
"p2","Baseline2",21,424,424,1,146646,148156,150533,2377,0,0,0
"p2","Baseline2",22,413,413,1,151438,152943,154885,1942,0,0,0
"p2","Baseline2",23,341,141,0,155966,157470,161133,3663,1,0,0
"p2","Baseline2",24,134,134,1,162062,163567,165493,1926,0,0,0
"p2","Baseline2",25,134,134,1,166301,167805,169774,1969,0,0,0
"p2","Baseline2",26,214,414,0,170598,172101,174414,2313,1,0,0
"p2","Baseline2",27,313,232,0,175254,176758,179333,2575,0,0,1
"p2","Baseline2",28,132,134,0,180326,181829,184957,3128,1,0,0
"p2","Baseline2",29,143,143,1,185782,187285,189181,1896,0,0,0
"p2","Baseline2",30,313,313,1,190038,191541,193565,2024,0,0,0
"p2","Baseline2",31,341,341,1,194382,195886,198565,2679,0,0,0
"p2","Baseline2",32,343,343,1,199637,201143,203518,2375,0,0,0
"p2","Baseline2",33,243,434,0,204350,205854,215477,9623,0,0,1
"p2","Baseline2",34,132,134,0,216374,217877,219654,1777,1,0,0
"p2","Baseline2",35,423,423,1,220502,222005,223813,1808,0,0,0
"p2","Baseline2",36,321,323,0,224533,226036,232374,6338,1,0,0
"p2","Baseline2",37,234,434,0,233158,234661,236837,2176,1,0,0
"p2","Baseline2",38,231,431,0,237727,239232,241293,2061,1,0,0
"p2","Baseline2",39,142,141,0,242278,243784,245837,2053,1,0,0
"p2","Baseline2",40,214,434,0,246638,248142,250965,2823,0,1,0
"p2","Baseline2",41,434,434,1,281989,283498,285317,1819,0,0,0
"p2","Baseline2",42,142,142,1,286158,287661,289429,1768,0,0,0
"p2","Baseline2",43,431,431,1,290294,291797,293597,1800,0,0,0
