"id","cond","trial.","realPattern","userAnswer","correct","playstamp","playendstamp","enterstamp","reaction_time","diffCount_1","diffCount_2","diffCount_3"
"p6","Approach",1,343,343,1,22454,23966,27571,3605,0,0,0
"p6","Approach",2,431,431,1,28477,29983,32212,2229,0,0,0
"p6","Approach",3,312,132,0,33141,34645,37252,2607,0,1,0
"p6","Approach",4,131,134,0,38109,39613,41996,2383,1,0,0
"p6","Approach",5,242,241,0,42861,44364,47036,2672,1,0,0
"p6","Approach",6,432,432,1,47965,49468,52396,2928,0,0,0
"p6","Approach",7,121,121,1,53229,54732,57604,2872,0,0,0
"p6","Approach",8,231,231,1,58452,59956,63772,3816,0,0,0
"p6","Approach",9,413,432,0,64661,66164,69100,2936,0,1,0
"p6","Approach",10,231,231,1,69901,71404,74164,2760,0,0,0
"p6","Approach",11,134,234,0,75077,76580,79699,3119,1,0,0
"p6","Approach",12,323,132,0,80494,81997,85389,3392,0,0,1
"p6","Approach",13,212,214,0,86221,87724,90109,2385,1,0,0
"p6","Approach",14,421,243,0,90901,92405,95220,2815,0,0,1
"p6","Approach",15,124,124,1,96022,97526,100812,3286,0,0,0
"p6","Approach",16,232,234,0,101597,103100,106173,3073,1,0,0
"p6","Approach",17,243,243,1,106940,108443,110572,2129,0,0,0
"p6","Approach",18,123,121,0,111309,112813,115428,2615,1,0,0
"p6","Approach",19,313,123,0,116333,117836,122108,4272,0,1,0
"p6","Approach",20,341,341,1,122965,124477,127180,2703,0,0,0
"p6","Approach",21,241,243,0,158725,160232,162676,2444,1,0,0
"p6","Approach",22,132,134,0,163508,165014,167276,2262,1,0,0
"p6","Approach",23,241,124,0,168053,169557,172412,2855,0,0,1
"p6","Approach",24,214,413,0,173612,175117,178028,2911,0,1,0
"p6","Approach",25,314,314,1,179301,180805,183164,2359,0,0,0
"p6","Approach",26,312,314,0,183933,185438,188180,2742,1,0,0
"p6","Approach",27,141,141,1,189005,190508,193444,2936,0,0,0
"p6","Approach",28,214,124,0,194253,195756,198157,2401,0,1,0
"p6","Approach",29,432,434,0,198917,200422,203349,2927,1,0,0
"p6","Approach",30,412,243,0,204117,205621,208925,3304,0,0,1
"p6","Approach",31,212,414,0,209726,211229,215052,3823,0,1,0
"p6","Approach",32,132,132,1,215860,217369,221325,3956,0,0,0
"p6","Approach",33,431,431,1,222221,223724,226548,2824,0,0,0
"p6","Approach",34,212,212,1,227629,229135,237268,8133,0,0,0
"p6","Approach",35,342,341,0,238165,239668,242508,2840,1,0,0
"p6","Approach",36,231,232,0,243389,244893,249140,4247,1,0,0
"p6","Approach",37,123,143,0,250261,251765,254196,2431,1,0,0
"p6","Approach",38,143,143,1,255141,256645,259740,3095,0,0,0
"p6","Approach",39,431,431,1,260669,262172,265068,2896,0,0,0
"p6","Approach",40,321,323,0,267205,268709,271860,3151,1,0,0
"p6","Approach",41,434,434,1,303006,304513,307564,3051,0,0,0
"p6","Approach",42,413,413,1,308372,309883,312452,2569,0,0,0
"p6","Approach",43,142,241,0,313340,314844,317493,2649,0,1,0
"p6","Approach",44,234,234,1,318293,319796,321965,2169,0,0,0
"p6","Approach",45,323,121,0,322765,324268,326348,2080,0,1,0
"p6","Approach",46,412,413,0,327173,328676,331437,2761,1,0,0
"p6","Approach",47,324,343,0,332245,333749,336293,2544,0,1,0
"p6","Approach",48,141,141,1,337125,338629,341564,2935,0,0,0
"p6","Approach",49,132,134,0,342397,343908,346172,2264,1,0,0
"p6","Approach",50,423,423,1,347029,348532,351484,2952,0,0,0
"p6","Approach",51,423,423,1,352325,353829,356916,3087,0,0,0
"p6","Approach",52,243,423,0,357805,359310,362412,3102,0,1,0
"p6","Approach",53,313,313,1,363277,364782,367108,2326,0,0,0
"p6","Approach",54,241,241,1,367997,369500,372940,3440,0,0,0
"p6","Approach",55,412,414,0,373709,375212,378723,3511,1,0,0
"p6","Approach",56,242,242,1,379605,381109,383637,2528,0,0,0
"p6","Approach",57,341,142,0,384509,386012,389461,3449,0,1,0
"p6","Approach",58,341,341,1,390325,391827,394364,2537,0,0,0
"p6","Approach",59,141,142,0,395372,396876,399476,2600,1,0,0
"p6","Approach",60,234,234,1,400380,401884,404740,2856,0,0,0
"p6","Approach",61,214,234,0,435669,437178,439972,2794,1,0,0
"p6","Approach",62,414,414,1,440789,442292,445332,3040,0,0,0
"p6","Approach",63,232,234,0,446189,447694,449988,2294,1,0,0
"p6","Approach",64,124,124,1,450789,452292,454596,2304,0,0,0
"p6","Approach",65,424,424,1,455405,456908,460324,3416,0,0,0
