"id","cond","trial.","realPattern","userAnswer","correct","playstamp","playendstamp","enterstamp","reaction_time","diffCount_1","diffCount_2","diffCount_3"
"p7","Baseline2",1,313,313,1,6457,7961,10545,2584,0,0,0
"p7","Baseline2",2,213,213,1,11706,13209,15072,1863,0,0,0
"p7","Baseline2",3,324,124,0,16082,17585,20697,3112,1,0,0
"p7","Baseline2",4,241,241,1,21642,23145,26281,3136,0,0,0
"p7","Baseline2",5,123,123,1,27194,28697,30961,2264,0,0,0
"p7","Baseline2",6,343,343,1,31921,33425,35729,2304,0,0,0
"p7","Baseline2",7,414,424,0,36769,38272,41161,2889,1,0,0
"p7","Baseline2",8,414,424,0,42081,43584,45825,2241,1,0,0
"p7","Baseline2",9,412,424,0,46729,48234,50617,2383,0,1,0
"p7","Baseline2",10,234,234,1,51490,52993,56090,3097,0,0,0
"p7","Baseline2",11,342,342,1,57025,58529,60777,2248,0,0,0
"p7","Baseline2",12,141,242,0,61761,63265,65321,2056,0,1,0
"p7","Baseline2",13,231,231,1,66313,67817,70184,2367,0,0,0
"p7","Baseline2",14,413,413,1,71106,72609,74993,2384,0,0,0
"p7","Baseline2",15,314,242,0,75881,77385,79425,2040,0,0,1
"p7","Baseline2",16,343,343,1,80386,81889,84225,2336,0,0,0
"p7","Baseline2",17,421,421,1,85145,86649,88977,2328,0,0,0
"p7","Baseline2",18,134,124,0,89849,91353,94362,3009,1,0,0
"p7","Baseline2",19,142,242,0,95218,96721,98473,1752,1,0,0
"p7","Baseline2",20,424,424,1,99730,101233,103233,2000,0,0,0
"p7","Baseline2",21,342,342,1,134434,135942,137985,2043,0,0,0
"p7","Baseline2",22,321,341,0,138954,140461,143305,2844,1,0,0
"p7","Baseline2",23,314,314,1,144169,145672,148129,2457,0,0,0
"p7","Baseline2",24,141,131,0,149561,151064,152993,1929,1,0,0
"p7","Baseline2",25,341,341,1,153841,155344,157377,2033,0,0,0
"p7","Baseline2",26,413,423,0,158273,159776,161673,1897,1,0,0
"p7","Baseline2",27,232,234,0,162681,164185,166537,2352,1,0,0
"p7","Baseline2",28,124,143,0,167433,168937,171065,2128,0,1,0
"p7","Baseline2",29,231,231,1,171898,173402,175625,2223,0,0,0
"p7","Baseline2",30,323,423,0,176513,178017,180209,2192,1,0,0
"p7","Baseline2",31,431,431,1,181081,182586,185273,2687,0,0,0
"p7","Baseline2",32,143,243,0,186193,187697,190121,2424,1,0,0
"p7","Baseline2",33,321,321,1,191129,192633,195169,2536,0,0,0
"p7","Baseline2",34,134,234,0,196098,197602,202233,4631,1,0,0
"p7","Baseline2",35,342,342,1,203073,204577,206681,2104,0,0,0
"p7","Baseline2",36,143,243,0,207801,209306,213425,4119,1,0,0
"p7","Baseline2",37,431,431,1,215377,216883,220105,3222,0,0,0
"p7","Baseline2",38,341,341,1,220922,222426,225065,2639,0,0,0
"p7","Baseline2",39,323,343,0,226001,227505,230393,2888,1,0,0
"p7","Baseline2",40,432,434,0,231305,232809,235745,2936,1,0,0
"p7","Baseline2",41,141,131,0,267345,268851,271873,3022,1,0,0
"p7","Baseline2",42,434,434,1,272785,274288,276449,2161,0,0,0
"p7","Baseline2",43,143,243,0,277498,279009,281561,2552,1,0,0
