"id","cond","trial.","realPattern","userAnswer","correct","playstamp","playendstamp","enterstamp","reaction_time","diffCount_1","diffCount_2","diffCount_3"
"p6","Baseline2",1,312,314,0,2349,3853,5933,2080,1,0,0
"p6","Baseline2",2,121,143,0,6655,8159,10269,2110,0,1,0
"p6","Baseline2",3,234,413,0,11086,12589,15661,3072,0,0,1
"p6","Baseline2",4,131,131,1,16462,17965,20293,2328,0,0,0
"p6","Baseline2",5,414,413,0,21005,22513,24325,1812,1,0,0
"p6","Baseline2",6,414,413,0,25053,26557,28502,1945,1,0,0
"p6","Baseline2",7,314,313,0,29581,31087,33548,2461,1,0,0
"p6","Baseline2",8,123,123,1,34317,35821,37717,1896,0,0,0
"p6","Baseline2",9,423,423,1,38453,39957,41805,1848,0,0,0
"p6","Baseline2",10,432,412,0,42518,44021,46460,2439,1,0,0
"p6","Baseline2",11,414,423,0,47246,48749,51109,2360,0,1,0
"p6","Baseline2",12,124,143,0,51837,53341,55413,2072,0,1,0
"p6","Baseline2",13,431,312,0,56613,58117,60069,1952,0,0,1
"p6","Baseline2",14,243,231,0,60973,62477,64421,1944,0,1,0
"p6","Baseline2",15,413,413,1,65181,66684,68846,2162,0,0,0
"p6","Baseline2",16,343,343,1,69685,71189,75581,4392,0,0,0
"p6","Baseline2",17,121,121,1,77022,78526,81053,2527,0,0,0
"p6","Baseline2",18,213,413,0,82029,83532,85485,1953,1,0,0
"p6","Baseline2",19,141,141,1,86293,87797,91158,3361,0,0,0
"p6","Baseline2",20,132,134,0,92030,93533,95956,2423,1,0,0
"p6","Baseline2",21,342,132,0,126909,128417,130525,2108,0,1,0
"p6","Baseline2",22,121,141,0,131246,132749,136101,3352,1,0,0
"p6","Baseline2",23,342,342,1,136838,138342,139941,1599,0,0,0
"p6","Baseline2",24,212,213,0,140709,142212,144477,2265,1,0,0
"p6","Baseline2",25,321,321,1,145230,146733,149309,2576,0,0,0
"p6","Baseline2",26,424,424,1,150070,151573,153701,2128,0,0,0
