id,group,strategy,armpose,mode,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p5,digit,hetero,armBody,training,1,1,1,1,138344,139449,141076
p5,digit,hetero,armBody,training,2,0,0,1,142992,146499,147421
p5,digit,hetero,armBody,training,3,3,3,1,149165,151468,152979
p5,digit,hetero,armBody,training,4,4,4,1,155223,158128,159807
p5,digit,hetero,armBody,training,5,1,1,1,161361,162463,163896
p5,digit,hetero,armBody,training,6,5,5,1,165414,168320,169621
p5,digit,hetero,armBody,training,7,8,8,1,171985,174891,175880
p5,digit,hetero,armBody,training,8,6,6,1,177459,179763,181026
p5,digit,hetero,armBody,training,9,7,7,1,182575,184278,185749
p5,digit,hetero,armBody,training,10,3,3,1,187360,189665,190638
p5,digit,hetero,armBody,training,11,9,9,1,192479,194783,195976
p5,digit,hetero,armBody,training,12,6,6,1,198049,200352,202053
p5,digit,hetero,armBody,training,13,2,2,1,203919,206223,208292
p5,digit,hetero,armBody,training,14,7,7,1,210132,211840,213111
p5,digit,hetero,armBody,training,15,0,0,1,214700,218206,218821
p5,digit,hetero,armBody,training,16,9,9,1,220681,222984,224974
p5,digit,hetero,armBody,training,17,8,8,1,226467,229371,231384
p5,digit,hetero,armBody,training,18,2,6,0,232960,235264,236772
p5,digit,hetero,armBody,training,19,4,4,1,238457,241363,244214
p5,digit,hetero,armBody,training,20,5,5,1,245863,248769,249712
