id,group,strategy,armpose,mode,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p6,digit,baseline,armBody,training,1,5,5,1,150242,153147,160683
p6,digit,baseline,armBody,training,2,9,9,1,195679,197989,200532
p6,digit,baseline,armBody,training,3,1,1,1,202488,203589,206473
p6,digit,baseline,armBody,training,4,0,8,0,288733,292241,297658
p6,digit,baseline,armBody,training,5,2,4,0,299494,301798,307930
p6,digit,baseline,armBody,training,6,2,2,1,315834,318138,321938
p6,digit,baseline,armBody,training,7,7,7,1,323834,325537,327734
p6,digit,baseline,armBody,training,8,7,7,1,329592,331296,333082
p6,digit,baseline,armBody,training,9,4,4,1,334912,337821,341667
p6,digit,baseline,armBody,training,10,3,3,1,343483,345787,347422
p6,digit,baseline,armBody,training,11,9,2,0,416060,418370,425309
p6,digit,baseline,armBody,training,12,4,4,1,427421,430326,433919
p6,digit,baseline,armBody,training,13,8,4,0,435746,438651,442318
p6,digit,baseline,armBody,training,14,8,8,1,444782,447688,454412
p6,digit,baseline,armBody,training,15,6,2,0,456273,458582,462338
p6,digit,baseline,armBody,training,16,0,0,1,467512,471020,472912
p6,digit,baseline,armBody,training,17,3,2,0,474758,477062,484393
p6,digit,baseline,armBody,training,18,5,8,0,486442,489348,495782
p6,digit,baseline,armBody,training,19,1,1,1,523212,524314,526462
p6,digit,baseline,armBody,training,20,6,6,1,528309,530614,533421
p6,digit,baseline,armBody,training,20,6,6,1,535610,537914,540815
