id,group,strategy,armpose,mode,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p2,digit,baseline,armBody,main,1,2,3,0,294427,296731,308959
p2,digit,baseline,armBody,main,2,8,5,0,310659,313565,316260
p2,digit,baseline,armBody,main,3,7,7,1,318745,320447,324367
p2,digit,baseline,armBody,main,4,6,2,0,327295,329600,332132
p2,digit,baseline,armBody,main,5,9,9,1,333811,336114,339438
p2,digit,baseline,armBody,main,6,6,6,1,342084,344394,349584
p2,digit,baseline,armBody,main,7,8,5,0,351551,354457,363165
p2,digit,baseline,armBody,main,8,4,8,0,365428,368341,374973
p2,digit,baseline,armBody,main,9,0,0,1,379013,382520,385677
p2,digit,baseline,armBody,main,10,6,6,1,387464,389769,400411
p2,digit,baseline,armBody,main,11,4,5,0,402806,405715,409333
p2,digit,baseline,armBody,main,12,8,5,0,413883,416788,421922
p2,digit,baseline,armBody,main,13,4,4,1,424216,427124,436222
p2,digit,baseline,armBody,main,14,5,5,1,438657,441562,442960
p2,digit,baseline,armBody,main,15,1,1,1,445032,446134,448091
p2,digit,baseline,armBody,main,16,9,9,1,450022,452326,453221
p2,digit,baseline,armBody,main,17,2,2,1,455258,457562,461967
p2,digit,baseline,armBody,main,18,9,9,1,463672,465976,466751
p2,digit,baseline,armBody,main,19,4,4,1,468481,471386,482698
p2,digit,baseline,armBody,main,20,1,1,1,484445,485551,487401
p2,digit,baseline,armBody,main,21,9,9,1,677442,679746,680656
p2,digit,baseline,armBody,main,22,8,5,0,682502,685406,694564
p2,digit,baseline,armBody,main,23,0,0,1,697119,700626,702635
p2,digit,baseline,armBody,main,24,1,1,1,704749,705850,707797
p2,digit,baseline,armBody,main,25,5,5,1,709763,712667,714831
p2,digit,baseline,armBody,main,26,7,7,1,716999,718702,721180
p2,digit,baseline,armBody,main,27,3,3,1,723087,725391,727213
p2,digit,baseline,armBody,main,28,7,7,1,729134,730837,732329
p2,digit,baseline,armBody,main,29,6,6,1,734271,736574,740984
p2,digit,baseline,armBody,main,30,2,2,1,742966,745270,753210
p2,digit,baseline,armBody,main,31,4,4,1,755385,758291,764519
p2,digit,baseline,armBody,main,32,0,0,1,766697,770203,771695
p2,digit,baseline,armBody,main,33,2,2,1,773631,775935,783694
p2,digit,baseline,armBody,main,34,8,8,1,787049,789956,795230
p2,digit,baseline,armBody,main,35,5,5,1,797201,800104,801372
p2,digit,baseline,armBody,main,36,1,1,1,803419,804521,806277
p2,digit,baseline,armBody,main,37,7,7,1,808380,810083,813084
p2,digit,baseline,armBody,main,38,1,1,1,815043,816145,822466
p2,digit,baseline,armBody,main,39,5,2,0,824363,827267,836476
p2,digit,baseline,armBody,main,40,3,3,1,838441,840748,842638
p2,digit,baseline,armBody,main,41,7,7,1,1202172,1203879,1205664
p2,digit,baseline,armBody,main,42,3,2,0,1207767,1210072,1210910
p2,digit,baseline,armBody,main,43,5,5,1,1213819,1216723,1217793
p2,digit,baseline,armBody,main,44,0,4,0,1219886,1223392,1224526
p2,digit,baseline,armBody,main,45,6,2,0,1226801,1229108,1235604
p2,digit,baseline,armBody,main,46,0,0,1,1237867,1241372,1242568
p2,digit,baseline,armBody,main,47,3,3,1,1244751,1247056,1249793
p2,digit,baseline,armBody,main,48,9,9,1,1251745,1254049,1255805
p2,digit,baseline,armBody,main,49,2,2,1,1257772,1260076,1263111
p2,digit,baseline,armBody,main,50,3,3,1,1265279,1267583,1268741
