trial,pattern,x,y,confidence,action,timestamp
1,l,488.5,528.1875,-1,down,1577110892
1,l,484.50317,520.2772,-1,move,1577110892
1,l,483.5,513.19714,-1,move,1577110892
1,l,483.5,506.0965,-1,move,1577110892
1,l,483.5,495.73096,-1,move,1577110892
1,l,485.59644,478.8059,-1,move,1577110892
1,l,489.72412,456.1972,-1,move,1577110892
1,l,491.3954,430.81085,-1,move,1577110892
1,l,495.08154,396.1286,-1,move,1577110892
1,l,496.625,360.34558,-1,move,1577110892
1,l,495.19116,323.1209,-1,move,1577110892
1,l,491.14294,287.39636,-1,move,1577110892
1,l,488.90247,260.77124,-1,move,1577110892
1,l,487.073,232.57147,-1,move,1577110892
1,l,485.8131,212.14276,-1,move,1577110892
1,l,484.56116,196.02075,-1,move,1577110892
1,l,482.6803,180.31885,-1,move,1577110893
1,l,480.92627,167.15588,-1,move,1577110893
1,l,478.8401,148.97424,-1,move,1577110893
1,l,476.9724,135.13293,-1,move,1577110893
1,l,475.859,125.56793,-1,move,1577110893
1,l,472.4298,118.36841,-1,move,1577110893
1,l,469.0426,113.57977,-1,move,1577110893
1,l,461.3142,107.29016,-1,move,1577110893
1,l,456.18335,104.54297,-1,move,1577110893
1,l,447.74695,102.20453,-1,move,1577110893
1,l,440.9983,100.452576,-1,move,1577110893
1,l,429.9037,98.43451,-1,move,1577110893
1,l,416.02283,97.68451,-1,move,1577110893
1,l,400.31714,95.303894,-1,move,1577110893
1,l,380.54614,93.3822,-1,move,1577110893
1,l,359.26184,90.766846,-1,move,1577110893
1,l,328.40808,90.6875,-1,move,1577110893
1,l,296.99878,90.6875,-1,move,1577110893
1,l,262.66016,93.81732,-1,move,1577110893
1,l,225.62695,95.390015,-1,move,1577110893
1,l,195.13562,95.375,-1,move,1577110893
1,l,163.88623,95.375,-1,move,1577110893
1,l,142.26685,90.40387,-1,move,1577110893
1,l,125.219604,87.24524,-1,move,1577110893
1,l,114.499146,84.91583,-1,move,1577110893
1,l,111.625,84.24219,-1,up,1577110893
2,t,491.625,493.03125,3,down,1577110902
2,t,485.87305,484.19952,3,move,1577110902
2,t,484.75,480.00452,3,move,1577110902
2,t,478.52222,474.29517,3,move,1577110902
2,t,472.73254,470.67657,3,move,1577110902
2,t,462.9458,466.93585,3,move,1577110902
2,t,448.56763,459.47974,3,move,1577110902
2,t,433.44324,451.23438,3,move,1577110902
2,t,413.88293,441.90454,3,move,1577110902
2,t,394.35242,431.74817,3,move,1577110902
2,t,369.53406,420.0785,3,move,1577110902
2,t,342.69788,406.00775,3,move,1577110902
2,t,310.71533,394.01825,3,move,1577110902
2,t,279.50146,379.3947,3,move,1577110902
2,t,249.6803,367.27063,3,move,1577110902
2,t,214.98572,352.15784,3,move,1577110902
2,t,191.1742,339.31036,3,move,1577110902
2,t,164.68054,325.74774,3,move,1577110902
2,t,144.01404,315.00238,3,move,1577110902
2,t,131.49585,307.01306,3,move,1577110902
2,t,121.64282,301.24554,3,move,1577110902
2,t,114.30835,297.05212,3,move,1577110902
2,t,110.098145,293.5818,3,move,1577110902
2,t,105.90527,289.39722,3,move,1577110902
2,t,104.125,284.77582,3,move,1577110902
2,t,104.125,280.7047,3,move,1577110902
2,t,104.125,274.0041,3,move,1577110902
