"","x","y","action","timestamp","trial"
"1",1329.8512,717.69507,"down",1571823465,1
"2",1329.8512,717.69507,"move",1571823465,1
"3",1328.0969,713.7967,"move",1571823465,1
"4",1322.639,709.21606,"move",1571823465,1
"5",1313.9651,704.4405,"move",1571823465,1
"6",1291.8416,694.59705,"move",1571823465,1
"7",1253.8318,680.3679,"move",1571823465,1
"8",1226.6403,670.0372,"move",1571823465,1
"9",1193.5037,657.1724,"move",1571823465,1
"10",1164.2655,645.5747,"move",1571823465,1
"11",1122.2599,631.05316,"move",1571823465,1
"12",1097.7972,622.57416,"move",1571823465,1
"13",1072.5549,614.3875,"move",1571823465,1
"14",1046.338,606.006,"move",1571823465,1
"15",1029.5748,599.96344,"move",1571823465,1
"16",1006.2817,591.97174,"move",1571823465,1
"17",998.7772,589.24286,"move",1571823466,1
"18",991.95496,584.9546,"move",1571823466,1
"19",989.0311,583.2003,"move",1571823466,1
"20",983.9632,578.71716,"move",1571823466,1
"21",981.62415,577.3527,"move",1571823466,1
"22",979.57745,575.89087,"move",1571823466,1
"23",979.09015,577.4502,"move",1571823466,1
"24",979.09015,583.59015,"move",1571823466,1
"25",980.16223,583.59015,"move",1571823466,1
"26",981.13684,580.27655,"move",1571823466,1
"27",981.13684,580.27655,"up",1571823466,1
"28",1194.0884,491.39307,"down",1571823487,2
"29",1194.0884,491.39307,"move",1571823487,2
"30",1192.6265,490.61337,"move",1571823487,2
"31",1189.5078,493.2448,"move",1571823487,2
"32",1149.4514,527.8431,"move",1571823487,2
"33",1105.7891,564.7804,"move",1571823487,2
"34",1081.229,584.66223,"move",1571823487,2
"35",1051.9907,612.7307,"move",1571823487,2
"36",1020.6084,639.3373,"move",1571823487,2
"37",1001.4086,651.12994,"move",1571823487,2
"38",988.8362,654.73596,"move",1571823487,2
"39",983.6708,655.1258,"move",1571823488,2
"40",981.9165,654.3461,"move",1571823488,2
"41",981.13684,652.29944,"move",1571823488,2
"42",984.0606,650.2528,"move",1571823488,2
"43",984.0606,650.2528,"up",1571823488,2
"44",1227.5175,811.1592,"down",1571823494,3
"45",1227.5175,811.1592,"move",1571823494,3
"46",1214.1653,800.1462,"move",1571823494,3
"47",1150.9133,806.1887,"move",1571823494,3
"48",1087.4664,817.4941,"move",1571823494,3
"49",1009.8877,829.38416,"move",1571823494,3
"50",934.4531,838.6429,"move",1571823494,3
"51",907.7489,841.37177,"move",1571823494,3
"52",883.77356,843.02856,"move",1571823494,3
"53",881.0447,843.12604,"move",1571823494,3
"54",879.9726,840.787,"move",1571823494,3
"55",879.9726,840.787,"up",1571823494,3
"56",1233.4625,798.4894,"down",1571823499,4
"57",1233.3651,798.09955,"move",1571823499,4
"58",1212.1187,771.68787,"move",1571823499,4
"59",1171.1852,738.7464,"move",1571823499,4
"60",1129.1796,711.1652,"move",1571823499,4
"61",1056.4739,663.40985,"move",1571823499,4
"62",999.2645,622.7691,"move",1571823499,4
"63",954.725,586.0267,"move",1571823500,4
"64",936.88965,572.86957,"move",1571823500,4
"65",921.49084,560.19977,"move",1571823500,4
"66",917.30005,557.08105,"move",1571823500,4
"67",914.66864,556.00903,"move",1571823500,4
"68",913.0118,556.2039,"move",1571823500,4
"69",912.3296,556.2039,"move",1571823500,4
"70",911.54987,555.91156,"move",1571823500,4
"71",910.1854,555.2293,"move",1571823500,4
"72",906.38446,554.3522,"move",1571823500,4
"73",903.94794,553.5725,"move",1571823500,4
"74",897.4181,556.7887,"move",1571823500,4
