id,cond,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p9,Baseline2,1,321,121,0,18606,20115,23958
p9,Baseline2,2,234,212,0,25255,26760,30062
p9,Baseline2,3,432,432,1,31046,32551,38333
p9,Baseline2,4,242,242,1,39982,41486,44750
p9,Baseline2,5,413,213,0,47279,48783,52790
p9,Baseline2,6,423,421,0,53751,55254,58118
p9,Baseline2,7,434,434,1,59447,60950,64605
p9,Baseline2,8,314,314,1,65655,67158,70094
p9,Baseline2,9,313,313,1,71070,72574,75678
p9,Baseline2,10,213,213,1,76638,78142,80605
p9,Baseline2,11,312,312,1,81535,83038,85661
p9,Baseline2,12,324,341,0,86631,88134,93797
p9,Baseline2,13,142,142,1,94679,96182,99541
p9,Baseline2,14,232,212,0,100470,101973,105422
p9,Baseline2,15,243,423,0,106294,107798,111686
p9,Baseline2,16,143,143,1,113639,115143,118079
p9,Baseline2,17,342,342,1,119007,120511,123238
p9,Baseline2,18,431,431,1,124935,126438,129446
p9,Baseline2,19,213,213,1,130510,132016,134606
p9,Baseline2,20,434,434,1,135703,137207,140110
p9,Baseline2,21,214,214,1,171486,172996,176950
p9,Baseline2,22,243,243,1,177807,179310,182463
p9,Baseline2,23,423,413,0,183303,184811,187879
p9,Baseline2,24,341,341,1,188710,190214,192703
p9,Baseline2,25,434,434,1,193559,195063,197702
p9,Baseline2,26,341,341,1,198519,200022,202726
p9,Baseline2,27,121,143,0,203606,205109,208110
p9,Baseline2,28,342,342,1,209102,210606,213310
p9,Baseline2,29,212,212,1,214183,215687,218829
p9,Baseline2,30,232,212,0,219710,221214,224453
p9,Baseline2,31,414,414,1,225494,226997,230398
p9,Baseline2,32,323,323,1,231246,232750,236725
p9,Baseline2,33,241,241,1,239054,240558,243238
p9,Baseline2,34,212,212,1,244094,245598,248094
p9,Baseline2,35,413,413,1,248886,250390,254629
p9,Baseline2,36,242,242,1,255807,257310,260214
p9,Baseline2,37,214,212,0,261022,262526,265670
p9,Baseline2,38,413,413,1,266502,268007,272061
p9,Baseline2,39,342,342,1,273518,275022,277846
p9,Baseline2,40,213,213,1,278934,280438,282686
p9,Baseline2,41,123,121,0,313710,315217,318646
p9,Baseline2,42,124,124,1,319478,320982,323526
p9,Baseline2,43,243,243,1,324383,325894,329302
