id,cond,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p6,Baseline1,1,424,424,1,2991,4502,6918
p6,Baseline1,2,213,214,0,7743,9247,11390
p6,Baseline1,3,231,212,0,12239,13742,16118
p6,Baseline1,4,323,323,1,16943,18446,21494
p6,Baseline1,5,243,231,0,22279,23782,26270
p6,Baseline1,6,234,234,1,27103,28607,31150
p6,Baseline1,7,134,134,1,31911,33414,35279
p6,Baseline1,8,134,134,1,36111,37614,39662
p6,Baseline1,9,421,421,1,40510,42014,44342
p6,Baseline1,10,231,231,1,45246,46750,48398
p6,Baseline1,11,434,414,0,49199,50702,53494
p6,Baseline1,12,413,423,0,54223,55726,59950
p6,Baseline1,13,412,414,0,60710,62214,64103
p6,Baseline1,14,432,414,0,64847,66351,68886
p6,Baseline1,15,341,323,0,69696,71199,72830
p6,Baseline1,16,343,324,0,73582,75087,77430
p6,Baseline1,17,412,412,1,78230,79735,83110
p6,Baseline1,18,132,132,1,83894,85397,87326
p6,Baseline1,19,212,212,1,88694,90198,92646
p6,Baseline1,20,324,324,1,93679,95182,97734
p6,Baseline1,21,321,323,0,128647,130153,132166
p6,Baseline1,22,134,132,0,133511,135016,137174
p6,Baseline1,23,232,234,0,137926,139430,141814
p6,Baseline1,24,242,242,1,142558,144062,146046
p6,Baseline1,25,314,324,0,146846,148350,150918
p6,Baseline1,26,312,314,0,151727,153231,155310
p6,Baseline1,27,424,424,1,156542,158046,160262
p6,Baseline1,28,432,413,0,161038,162542,164310
p6,Baseline1,29,313,313,1,165071,166575,169518
p6,Baseline1,30,141,324,0,170335,171839,174278
p6,Baseline1,31,312,314,0,175030,176535,178453
p6,Baseline1,32,231,431,0,179270,180775,182710
p6,Baseline1,33,243,243,1,183471,184975,187174
p6,Baseline1,34,142,142,1,187982,189486,191862
p6,Baseline1,35,242,431,0,192655,194159,196534
p6,Baseline1,36,323,423,0,197319,198823,201118
p6,Baseline1,37,241,241,1,202206,203710,205806
p6,Baseline1,38,143,142,0,206551,208054,210294
p6,Baseline1,39,141,241,0,211047,212550,215430
p6,Baseline1,40,343,143,0,216175,217678,219447
p6,Baseline1,41,214,213,0,250374,251885,254174
p6,Baseline1,42,142,142,1,254991,256495,258734
p6,Baseline1,43,243,241,0,259511,261017,263414
p6,Baseline1,44,214,214,1,264159,265663,268118
p6,Baseline1,45,214,214,1,268918,270421,273254
p6,Baseline1,46,131,231,0,273967,275470,277070
p6,Baseline1,47,143,142,0,277823,279327,281606
p6,Baseline1,48,232,212,0,282343,283846,286317
p6,Baseline1,49,312,132,0,287175,288678,290958
p6,Baseline1,50,342,124,0,291711,293215,295758
p6,Baseline1,51,342,142,0,296518,298021,300222
p6,Baseline1,52,341,121,0,301023,302526,304830
p6,Baseline1,53,141,141,1,305623,307127,310174
p6,Baseline1,54,421,421,1,310983,312486,315734
p6,Baseline1,55,212,212,1,316590,318094,320390
p6,Baseline1,56,242,242,1,321198,322701,325318
p6,Baseline1,57,413,412,0,326183,327687,329958
p6,Baseline1,58,413,413,1,330768,332271,334885
p6,Baseline1,59,143,142,0,335678,337181,339614
p6,Baseline1,60,241,241,1,340511,342015,344486
p6,Baseline1,61,423,413,0,375382,376893,378942
p6,Baseline1,62,232,231,0,380102,381606,383590
p6,Baseline1,63,314,324,0,384359,385867,388270
p6,Baseline1,64,213,213,1,389055,390558,392382
p6,Baseline1,65,213,213,1,393127,394631,396742
p6,Baseline1,66,432,414,0,397502,399006,401006
p6,Baseline1,67,414,413,0,401807,403311,405598
p6,Baseline1,68,424,423,0,406351,407854,409702
p6,Baseline1,69,121,141,0,410455,411959,414910
p6,Baseline1,70,423,423,1,415662,417166,419406
p6,Baseline1,71,423,423,1,420168,421671,424222
p6,Baseline1,72,431,412,0,424991,426494,429901
p6,Baseline1,73,121,121,1,430671,432175,433926
p6,Baseline1,74,431,413,0,434711,436214,438302
p6,Baseline1,75,434,414,0,439087,440591,442854
p6,Baseline1,76,341,121,0,443631,445134,448070
p6,Baseline1,77,121,121,1,448903,450407,452318
p6,Baseline1,78,132,132,1,453087,454590,456742
p6,Baseline1,79,234,214,0,457558,459062,461318
p6,Baseline1,80,434,414,0,462103,463607,466030
p6,Baseline1,81,414,413,0,496911,498417,501254
p6,Baseline1,82,234,214,0,501982,503486,505638
p6,Baseline1,83,313,123,0,506462,507966,510678
p6,Baseline1,84,123,214,0,511462,512966,515030
p6,Baseline1,85,414,414,1,515783,517286,520358
p6,Baseline1,86,124,123,0,521118,522623,524926
p6,Baseline1,87,131,132,0,525727,527230,529782
p6,Baseline1,88,323,324,0,530583,532085,533950
p6,Baseline1,89,132,134,0,534727,536231,538638
p6,Baseline1,90,123,143,0,539392,540897,543694
p6,Baseline1,91,124,123,0,544462,545966,547670
p6,Baseline1,92,412,143,0,548454,549958,551406
p6,Baseline1,93,324,324,1,552270,553774,555446
p6,Baseline1,94,431,414,0,556239,557741,560302
p6,Baseline1,95,421,423,0,561047,562551,564366
p6,Baseline1,96,212,141,0,565142,566646,568406
p6,Baseline1,97,321,321,1,569182,570685,573318
p6,Baseline1,98,123,123,1,574103,575607,577998
p6,Baseline1,99,314,131,0,578774,580277,582062
p6,Baseline1,100,324,123,0,582854,584357,586254
p6,Baseline1,101,343,321,0,617407,618915,622662
p6,Baseline1,102,342,132,0,623479,624985,627606
p6,Baseline1,103,241,241,1,628535,630039,632542
p6,Baseline1,104,131,131,1,633263,634767,636294
p6,Baseline1,105,313,131,0,637038,638541,640726
p6,Baseline1,106,142,132,0,641510,643014,646566
p6,Baseline1,107,321,343,0,647302,648812,651007
p6,Baseline1,108,124,143,0,651806,653309,655086
