trial#,pattern,answer,correct,recentAccuracy,modality,playstamp,playendstamp,enterstamp
1,i,1,0,0,ERM 1,3231,4238,5879
2,i,1,0,0,ERM 1,7258,8260,9007
3,i,1,0,0,ERM 1,10382,11385,11924
4,i,1,0,0,ERM 1,13217,14220,14558
5,i,1,0,0,ERM 1,15627,16629,16827
6,i,1,0,0,ERM 1,17870,18873,19084
7,i,7,0,0,ERM 1,20329,21331,21450
8,i,3,0,0,ERM 1,22627,23630,25405
9,i,5,0,0,ERM 1,26434,27436,27806
