id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp,reactionTime
p2,C(Baseline2),1,23,24,0,1,0,3316,4318,6427,2109
p2,C(Baseline2),2,23,23,1,1,1,7963,8966,11439,2473
p2,C(Baseline2),3,43,43,1,1,1,12329,13331,15555,2224
p2,C(Baseline2),4,13,24,0,0,0,16504,17506,19668,2162
p2,C(Baseline2),5,14,14,1,1,1,20567,21569,23744,2175
p2,C(Baseline2),6,21,23,0,1,0,24753,25755,28305,2550
p2,C(Baseline2),7,21,23,0,1,0,29257,30259,33717,3458
p2,C(Baseline2),8,32,41,0,0,0,34625,35627,37774,2147
p2,C(Baseline2),9,41,21,0,0,1,38634,39636,41720,2084
p2,C(Baseline2),10,43,43,1,1,1,42592,43593,45634,2041
p2,C(Baseline2),11,32,32,1,1,1,46551,47553,50024,2471
p2,C(Baseline2),12,34,41,0,0,0,51800,52802,54667,1865
p2,C(Baseline2),13,24,24,1,1,1,55581,56583,58538,1955
p2,C(Baseline2),14,12,32,0,0,1,59627,60630,63423,2793
p2,C(Baseline2),15,41,43,0,1,0,64510,65512,68209,2697
p2,C(Baseline2),16,31,41,0,0,1,69160,70162,72331,2169
p2,C(Baseline2),17,31,41,0,0,1,73332,74334,77041,2707
p2,C(Baseline2),18,14,14,1,1,1,77902,78903,81094,2191
p2,C(Baseline2),19,12,12,1,1,1,82002,83004,85392,2388
p2,C(Baseline2),20,42,41,0,1,0,86550,87552,90319,2767
p2,C(Baseline2),21,13,14,0,1,0,121871,122879,125364,2485
p2,C(Baseline2),22,34,42,0,0,0,126452,127454,129365,1911
p2,C(Baseline2),23,42,21,0,0,0,130494,131499,133934,2435
p2,C(Baseline2),24,13,13,1,1,1,134788,135790,137975,2185
p2,C(Baseline2),25,13,13,1,1,1,138931,139933,141886,1953
p2,C(Baseline2),26,24,24,1,1,1,142881,143883,145966,2083
p2,C(Baseline2),27,42,21,0,0,0,147017,148020,149792,1772
p2,C(Baseline2),28,23,23,1,1,1,150671,151673,153648,1975
p2,C(Baseline2),29,12,12,1,1,1,154775,155777,157460,1683
p2,C(Baseline2),30,32,31,0,1,0,158283,159285,160662,1377
p2,C(Baseline2),31,34,41,0,0,0,161482,162484,164070,1586
p2,C(Baseline2),32,24,12,0,0,0,164851,165853,167225,1372
p2,C(Baseline2),33,12,32,0,0,1,168079,169081,170858,1777
p2,C(Baseline2),34,14,34,0,0,1,171669,172671,174409,1738
p2,C(Baseline2),35,32,31,0,1,0,175521,176522,181043,4521
p2,C(Baseline2),36,24,12,0,0,0,182225,183227,184778,1551
p2,C(Baseline2),37,41,43,0,1,0,185606,186607,188316,1709
p2,C(Baseline2),38,23,23,1,1,1,189193,190195,192419,2224
p2,C(Baseline2),39,31,31,1,1,1,194298,195300,196732,1432
p2,C(Baseline2),40,32,41,0,0,0,197593,198595,200433,1838
p2,C(Baseline2),41,31,31,1,1,1,232139,233147,235160,2013
p2,C(Baseline2),42,41,23,0,0,0,236021,237025,238712,1687
p2,C(Baseline2),43,41,43,0,1,0,239542,240544,242404,1860
p2,C(Baseline2),44,13,13,1,1,1,243283,244285,246476,2191
p2,C(Baseline2),45,14,34,0,0,1,247303,248305,249959,1654
p2,C(Baseline2),46,43,43,1,1,1,250989,251991,253388,1397
p2,C(Baseline2),47,34,32,0,1,0,254201,255203,257372,2169
p2,C(Baseline2),48,14,14,1,1,1,258418,259420,261318,1898
p2,C(Baseline2),49,31,43,0,0,0,262280,263282,264613,1331
p2,C(Baseline2),50,24,14,0,0,1,265539,266540,269293,2753
p2,C(Baseline2),51,23,13,0,0,1,270225,271226,273257,2031
p2,C(Baseline2),52,42,41,0,1,0,274472,275474,277409,1935
p2,C(Baseline2),53,21,13,0,0,0,278510,279512,281289,1777
p2,C(Baseline2),54,12,32,0,0,1,282160,283163,285614,2451
p2,C(Baseline2),55,42,41,0,1,0,286630,287632,289428,1796
p2,C(Baseline2),56,21,13,0,0,0,290309,291311,293186,1875
p2,C(Baseline2),57,21,13,0,0,0,294067,295069,296709,1640
p2,C(Baseline2),58,43,43,1,1,1,297544,298546,300692,2146
p2,C(Baseline2),59,43,43,1,1,1,301757,302759,304367,1608
p2,C(Baseline2),60,34,32,0,1,0,305364,306366,308641,2275
