id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
p9,Body,1,32,41,0,0,0,31822,32837,35421
p9,Body,2,43,43,1,1,1,42206,43208,46173
p9,Body,3,41,21,0,0,1,47142,48145,51605
p9,Body,4,31,41,0,0,1,52838,53840,56502
p9,Body,5,34,42,0,0,0,57446,58449,60933
p9,Body,6,13,24,0,0,0,62037,63040,67005
