"","x","y","action","timestamp","trial"
"1",1725.7366,563.1236,"down",1571817318,1
"2",1725.7366,562.34393,"move",1571817318,1
"3",1724.4695,560.4922,"move",1571817318,1
"4",1725.4441,562.149,"move",1571817318,1
"5",1725.639,564.1956,"move",1571817318,1
"6",1725.2493,579.5943,"move",1571817318,1
"7",1722.1305,606.10345,"move",1571817318,1
"8",1719.1093,638.0703,"move",1571817318,1
"9",1713.4564,667.9905,"move",1571817318,1
"10",1705.8545,705.80493,"move",1571817318,1
"11",1701.3713,734.9455,"move",1571817318,1
"12",1699.4221,754.1451,"move",1571817318,1
"13",1696.3033,781.5313,"move",1571817318,1
"14",1694.744,793.42145,"move",1571817318,1
"15",1693.2821,803.2649,"move",1571817318,1
"16",1691.7228,810.28204,"move",1571817318,1
"17",1690.8456,815.8372,"move",1571817318,1
"18",1690.0659,819.0534,"move",1571817318,1
"19",1689.1887,824.12134,"move",1571817318,1
"20",1688.9939,826.16797,"move",1571817319,1
"21",1688.5066,828.79944,"move",1571817319,1
"22",1688.0193,832.40546,"move",1571817319,1
"23",1687.7268,836.1089,"move",1571817319,1
"24",1687.532,838.5454,"move",1571817319,1
"25",1686.5574,840.39716,"move",1571817319,1
"26",1686.1675,841.2743,"move",1571817319,1
"27",1685.5828,844.393,"move",1571817319,1
"28",1685.5828,844.393,"up",1571817319,1
"29",1496.2166,561.5642,"down",1571817329,2
"30",1496.2166,561.5642,"move",1571817329,2
"31",1499.1404,569.55597,"move",1571817329,2
"32",1504.5007,576.9629,"move",1571817329,2
"33",1538.9044,615.75195,"move",1571817329,2
"34",1574.4775,648.9858,"move",1571817330,2
"35",1621.9409,688.16473,"move",1571817330,2
"36",1660.048,721.49603,"move",1571817330,2
"37",1688.3116,745.861,"move",1571817330,2
"38",1707.5114,764.5733,"move",1571817330,2
"39",1738.309,795.56555,"move",1571817330,2
"40",1752.3433,810.37946,"move",1571817330,2
"41",1763.5513,822.46454,"move",1571817330,2
"42",1768.7167,831.8207,"move",1571817330,2
"43",1768.4243,835.3292,"move",1571817330,2
"44",1768.4243,835.3292,"up",1571817330,2
"45",1776.1237,618.28595,"down",1571817341,3
"46",1776.1237,618.28595,"move",1571817341,3
"47",1774.6617,610.97644,"move",1571817342,3
"48",1772.3228,612.04846,"move",1571817342,3
"49",1761.6995,621.7945,"move",1571817342,3
"50",1748.1525,636.7059,"move",1571817342,3
"51",1738.114,647.62134,"move",1571817342,3
"52",1715.6006,671.499,"move",1571817342,3
"53",1700.4941,687.4825,"move",1571817342,3
"54",1677.6884,710.0932,"move",1571817342,3
"55",1646.2086,739.0388,"move",1571817342,3
"56",1619.212,764.4758,"move",1571817342,3
"57",1596.991,784.845,"move",1571817342,3
"58",1570.6765,809.015,"move",1571817342,3
"59",1541.8282,836.5962,"move",1571817342,3
"60",1524.4802,854.139,"move",1571817342,3
"61",1515.2214,862.13074,"move",1571817342,3
"62",1507.0347,867.6859,"move",1571817342,3
"63",1499.7252,870.4148,"move",1571817342,3
"64",1499.7252,870.4148,"up",1571817342,3
"65",1721.7406,846.43964,"down",1571817351,4
"66",1721.7406,846.43964,"move",1571817351,4
"67",1722.4229,841.37177,"move",1571817351,4
"68",1719.8889,822.46454,"move",1571817351,4
"69",1716.4778,809.89215,"move",1571817351,4
"70",1710.0453,785.91705,"move",1571817351,4
"71",1706.6343,771.5904,"move",1571817351,4
"72",1703.8079,751.9035,"move",1571817352,4
"73",1701.079,727.83093,"move",1571817352,4
"74",1698.8374,705.80493,"move",1571817352,4
"75",1697.278,688.26215,"move",1571817352,4
"76",1694.6466,667.11334,"move",1571817352,4
"77",1691.7228,642.8458,"move",1571817352,4
"78",1689.676,623.74365,"move",1571817352,4
"79",1687.4344,608.44244,"move",1571817352,4
"80",1684.9979,587.3911,"move",1571817352,4
"81",1683.8284,579.0096,"move",1571817352,4
"82",1682.3665,569.6534,"move",1571817352,4
"83",1682.6589,568.77625,"move",1571817352,4
"84",1682.6589,568.77625,"up",1571817352,4
"85",1624.7672,843.2235,"down",1571817359,5
"86",1625.6444,842.9311,"move",1571817359,5
"87",1629.9326,833.1851,"move",1571817359,5
"88",1636.6575,818.5661,"move",1571817359,5
"89",1644.3568,797.4173,"move",1571817359,5
"90",1653.4207,776.7558,"move",1571817359,5
"91",1667.1626,748.1026,"move",1571817359,5
"92",1682.0741,714.8687,"move",1571817359,5
"93",1691.0405,686.11804,"move",1571817359,5
"94",1699.9094,640.11694,"move",1571817360,5
"95",1706.0494,613.5104,"move",1571817360,5
"96",1711.3124,588.9505,"move",1571817360,5
"97",1715.893,566.43726,"move",1571817360,5
"98",1713.7489,554.25476,"move",1571817360,5
"99",1713.7489,554.25476,"up",1571817360,5
"100",1532.4719,547.0427,"down",1571817368,6
"101",1533.5441,549.57666,"move",1571817368,6
"102",1535.006,553.67,"move",1571817368,6
"103",1551.1844,574.5264,"move",1571817368,6
"104",1567.0706,591.0946,"move",1571817368,6
"105",1589.584,615.6545,"move",1571817368,6
"106",1612.2922,643.5281,"move",1571817369,6
"107",1625.0596,659.3165,"move",1571817369,6
"108",1636.4625,674.7152,"move",1571817369,6
"109",1656.6368,702.49133,"move",1571817369,6
"110",1671.3534,725.0046,"move",1571817369,6
"111",1682.6589,742.54736,"move",1571817369,6
"112",1692.4049,759.4079,"move",1571817369,6
"113",1704.685,783.87036,"move",1571817369,6
"114",1710.1428,798.0021,"move",1571817369,6
"115",1712.7743,806.8709,"move",1571817369,6
"116",1714.2362,813.2058,"move",1571817369,6
"117",1715.5032,820.6128,"move",1571817369,6
"118",1715.1133,824.901,"move",1571817369,6
"119",1712.7743,829.0918,"move",1571817369,6
"120",1710.4352,833.6724,"move",1571817369,6
"121",1707.6089,839.90985,"move",1571817369,6
"122",1706.7317,841.7616,"move",1571817369,6
"123",1706.147,844.10065,"move",1571817369,6
"124",1707.9987,847.5117,"move",1571817369,6
"125",1707.9987,847.5117,"up",1571817369,6
"126",1507.1322,630.07855,"down",1571817378,7
"127",1507.1322,630.07855,"move",1571817378,7
"128",1530.7177,627.5446,"move",1571817378,7
"129",1561.7102,626.86237,"move",1571817378,7
"130",1592.2153,628.5192,"move",1571817378,7
"131",1620.5764,629.49384,"move",1571817378,7
"132",1647.8655,632.2227,"move",1571817378,7
"133",1662.3871,634.5617,"move",1571817378,7
"134",1683.8284,638.94745,"move",1571817378,7
"135",1695.0364,640.4093,"move",1571817378,7
"136",1705.1724,641.67633,"move",1571817378,7
"137",1710.4352,642.55347,"move",1571817378,7
"138",1712.287,641.4814,"move",1571817378,7
"139",1712.287,641.4814,"up",1571817378,7
"140",1496.4115,859.40186,"down",1571817387,8
"141",1496.4115,859.40186,"move",1571817387,8
"142",1510.8357,855.1136,"move",1571817387,8
"143",1535.006,851.9949,"move",1571817387,8
"144",1600.3046,844.4905,"move",1571817387,8
"145",1640.8483,840.39716,"move",1571817387,8
"146",1678.2732,837.76575,"move",1571817387,8
"147",1689.676,837.27844,"move",1571817387,8
"148",1694.1593,835.23175,"move",1571817387,8
"149",1694.1593,835.23175,"up",1571817387,8
"150",1724.8594,868.2707,"down",1571817393,9
"151",1721.2533,865.93164,"move",1571817393,9
"152",1717.5498,866.3215,"move",1571817393,9
"153",1679.6376,877.1395,"move",1571817393,9
"154",1641.3356,885.3262,"move",1571817393,9
"155",1589.2915,890.78394,"move",1571817393,9
"156",1541.4384,895.1696,"move",1571817393,9
"157",1517.3656,895.55945,"move",1571817393,9
"158",1506.6449,893.0255,"move",1571817394,9
"159",1503.8185,893.90265,"move",1571817394,9
"160",1503.8185,893.90265,"up",1571817394,9
"161",1716.6727,579.8867,"down",1571817401,10
"162",1716.6727,579.8867,"move",1571817401,10
"163",1711.7997,570.33563,"move",1571817401,10
"164",1684.9005,569.75085,"move",1571817401,10
"165",1633.9286,576.768,"move",1571817401,10
"166",1577.8887,586.2216,"move",1571817401,10
"167",1533.0568,596.16254,"move",1571817401,10
"168",1519.2173,599.76855,"move",1571817401,10
"169",1510.9331,604.9339,"move",1571817401,10
"170",1510.9331,604.9339,"up",1571817401,10
"171",1509.2764,910.27594,"down",1571817410,11
"172",1509.2764,910.27594,"move",1571817410,11
"173",1514.0519,905.208,"move",1571817410,11
"174",1551.7692,899.16547,"move",1571817410,11
"175",1595.3341,890.68646,"move",1571817410,11
"176",1643.0898,884.1567,"move",1571817410,11
"177",1679.5402,883.0846,"move",1571817410,11
"178",1695.3287,883.0846,"move",1571817410,11
"179",1701.079,883.4744,"move",1571817410,11
"180",1702.8333,883.0846,"move",1571817410,11
"181",1702.8333,883.0846,"up",1571817410,11
"182",1539.3917,891.9534,"down",1571817416,12
"183",1539.3917,891.9534,"move",1571817416,12
"184",1539.1968,887.37286,"move",1571817416,12
"185",1536.273,875.7751,"move",1571817416,12
"186",1530.5227,842.2489,"move",1571817416,12
"187",1522.6284,804.337,"move",1571817416,12
"188",1519.2173,773.73456,"move",1571817416,12
"189",1518.0477,757.8486,"move",1571817416,12
"190",1516.5858,739.2337,"move",1571817416,12
"191",1514.8315,721.49603,"move",1571817416,12
"192",1513.9545,709.31354,"move",1571817416,12
"193",1513.662,701.6142,"move",1571817416,12
"194",1513.1748,693.91486,"move",1571817416,12
"195",1508.3992,690.6012,"move",1571817416,12
"196",1508.3992,690.6012,"up",1571817416,12
