id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p6,handNorth,armDown,1,d,x,0,219692,221696,228969
p6,handNorth,armDown,2,u,u,1,233590,235600,238577
p6,handNorth,armDown,3,p,z,0,240704,242707,247635
p6,handNorth,armDown,4,u,n,0,259793,261797,267217
p6,handNorth,armDown,5,h,u,0,292437,294440,295325
p6,handNorth,armDown,6,n,y,0,309809,311812,315365
p6,handNorth,armDown,7,b,y,0,322306,324309,328734
p6,handNorth,armDown,8,p,n,0,334664,336668,343644
p6,handNorth,armDown,9,h,y,0,352015,354017,368689
p6,handNorth,armDown,10,y,y,1,374654,376658,380839
p6,handNorth,armDown,11,u,h,0,382655,384658,386967
p6,handNorth,armDown,12,d,z,0,391094,393097,394298
p6,handNorth,armDown,13,x,z,0,399777,401779,407753
p6,handNorth,armDown,14,e,x,0,417937,419940,421565
p6,handNorth,armDown,15,s,s,1,428869,430871,432713
p6,handNorth,armDown,16,s,s,1,434861,436863,438579
p6,handNorth,armDown,17,p,x,0,440773,442777,448328
p6,handNorth,armDown,18,e,s,0,452909,454911,459824
p6,handNorth,armDown,19,z,e,0,463542,465546,473112
p6,handNorth,armDown,20,y,x,0,478367,480370,485821
p6,handNorth,armDown,21,s,b,0,489817,491820,494905
p6,handNorth,armDown,22,h,b,0,508316,510319,511657
p6,handNorth,armDown,23,x,z,0,521454,523457,525549
p6,handNorth,armDown,24,n,u,0,535653,537656,540489
p6,handNorth,armDown,25,y,z,0,542572,544575,545922
p6,handNorth,armDown,26,b,y,0,547526,549528,554795
p6,handNorth,armDown,27,d,s,0,558207,560210,568395
p6,handNorth,armDown,28,z,x,0,586289,588291,595555
p6,handNorth,armDown,29,n,x,0,603606,605612,608567
p6,handNorth,armDown,30,x,h,0,618862,620865,628174
p6,handNorth,armDown,31,e,s,0,631833,633837,642817
p6,handNorth,armDown,32,b,s,0,648077,650080,653406
p6,handNorth,armDown,33,z,s,0,657911,659915,660909
