id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p10,watchNorth,armFront,1,s,s,1,97382,99388,101482
p10,watchNorth,armFront,2,x,y,0,103377,105380,107137
p10,watchNorth,armFront,3,n,y,0,109059,111062,113789
p10,watchNorth,armFront,4,d,d,1,115725,117727,118456
p10,watchNorth,armFront,5,s,z,0,120322,122326,125833
p10,watchNorth,armFront,6,y,y,1,127925,129928,131649
p10,watchNorth,armFront,7,u,u,1,133514,135518,136548
p10,watchNorth,armFront,8,b,b,1,138444,140447,141825
p10,watchNorth,armFront,9,b,n,0,143741,145744,147127
p10,watchNorth,armFront,10,d,d,1,149039,151042,154640
p10,watchNorth,armFront,11,e,e,1,156526,158529,159263
p10,watchNorth,armFront,12,y,y,1,161279,163283,164317
p10,watchNorth,armFront,13,h,h,1,166133,168136,172414
p10,watchNorth,armFront,14,p,x,0,174316,176319,178477
p10,watchNorth,armFront,15,b,p,0,180420,182428,184329
p10,watchNorth,armFront,16,h,x,0,186294,188297,189590
p10,watchNorth,armFront,17,d,d,1,191426,193430,194127
p10,watchNorth,armFront,18,x,y,0,195958,197962,199117
p10,watchNorth,armFront,19,z,y,0,200958,202961,205794
p10,watchNorth,armFront,20,n,y,0,207689,209692,211443
p10,watchNorth,armFront,21,p,n,0,213264,215267,219585
p10,watchNorth,armFront,22,z,p,0,221461,223465,226071
p10,watchNorth,armFront,23,h,p,0,227962,229965,233312
p10,watchNorth,armFront,24,s,z,0,235213,237216,238387
p10,watchNorth,armFront,25,y,z,0,241060,243063,244360
p10,watchNorth,armFront,26,u,u,1,246366,248368,249309
p10,watchNorth,armFront,27,x,x,1,251124,253127,254208
p10,watchNorth,armFront,28,e,e,1,256014,258017,258669
p10,watchNorth,armFront,29,u,u,1,260486,262489,265160
p10,watchNorth,armFront,30,e,e,1,266951,268954,269853
p10,watchNorth,armFront,31,p,p,1,271740,273745,276867
p10,watchNorth,armFront,32,n,p,0,278719,280720,286036
p10,watchNorth,armFront,33,z,p,0,288849,290867,293181
