id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp,reactionTime
p4,B(Approach),1,12,12,1,1,1,2550,3552,5557,2005
p4,B(Approach),2,32,32,1,1,1,6454,7457,9749,2292
p4,B(Approach),3,23,23,1,1,1,10686,11689,13525,1836
p4,B(Approach),4,14,14,1,1,1,14453,15456,16981,1525
p4,B(Approach),5,14,14,1,1,1,17966,18968,20789,1821
p4,B(Approach),6,34,34,1,1,1,21654,22656,24557,1901
p4,B(Approach),7,43,41,0,1,0,25469,26472,28381,1909
p4,B(Approach),8,12,14,0,1,0,29278,30279,32245,1966
p4,B(Approach),9,32,32,1,1,1,33094,34095,35973,1878
p4,B(Approach),10,12,14,0,1,0,36901,37904,39509,1605
p4,B(Approach),11,31,31,1,1,1,40382,41383,42925,1542
p4,B(Approach),12,14,14,1,1,1,43805,44807,46397,1590
p4,B(Approach),13,32,12,0,0,1,47302,48305,49813,1508
p4,B(Approach),14,14,14,1,1,1,50686,51687,53301,1614
p4,B(Approach),15,42,41,0,1,0,54230,55232,57725,2493
p4,B(Approach),16,43,43,1,1,1,58565,59568,61708,2140
p4,B(Approach),17,12,12,1,1,1,62598,63600,65181,1581
p4,B(Approach),18,41,41,1,1,1,66270,67272,68685,1413
p4,B(Approach),19,13,13,1,1,1,69630,70631,72252,1621
p4,B(Approach),20,21,21,1,1,1,73366,74368,75925,1557
p4,B(Approach),21,42,42,1,1,1,108101,109112,110868,1756
p4,B(Approach),22,42,21,0,0,0,111813,112815,114645,1830
p4,B(Approach),23,31,31,1,1,1,115502,116510,118069,1559
p4,B(Approach),24,21,23,0,1,0,118989,119991,121365,1374
p4,B(Approach),25,24,24,1,1,1,122262,123264,124813,1549
p4,B(Approach),26,21,21,1,1,1,125685,126687,128676,1989
p4,B(Approach),27,41,41,1,1,1,129990,130993,132749,1756
p4,B(Approach),28,43,41,0,1,0,133621,134624,137365,2741
p4,B(Approach),29,41,21,0,0,1,138269,139271,140908,1637
p4,B(Approach),30,24,24,1,1,1,141798,142800,144341,1541
p4,B(Approach),31,21,21,1,1,1,145293,146295,147821,1526
p4,B(Approach),32,32,32,1,1,1,148685,149687,151389,1702
p4,B(Approach),33,42,42,1,1,1,152237,153239,155340,2101
p4,B(Approach),34,24,24,1,1,1,156134,157136,158820,1684
p4,B(Approach),35,41,21,0,0,1,159742,160744,162684,1940
p4,B(Approach),36,31,31,1,1,1,163661,164663,166156,1493
p4,B(Approach),37,41,41,1,1,1,167094,168096,169829,1733
p4,B(Approach),38,43,41,0,1,0,170893,171895,173933,2038
p4,B(Approach),39,34,34,1,1,1,174821,175823,177645,1822
p4,B(Approach),40,23,23,1,1,1,178518,179520,181357,1837
p4,B(Approach),41,14,32,0,0,0,213430,214435,216781,2346
p4,B(Approach),42,42,21,0,0,0,217581,218583,220428,1845
p4,B(Approach),43,13,13,1,1,1,221293,222296,224324,2028
p4,B(Approach),44,43,41,0,1,0,225182,226184,227741,1557
p4,B(Approach),45,24,24,1,1,1,228550,229552,231524,1972
p4,B(Approach),46,23,23,1,1,1,232486,233487,235477,1990
p4,B(Approach),47,21,21,1,1,1,236429,237431,239013,1582
p4,B(Approach),48,31,31,1,1,1,239885,240887,242644,1757
p4,B(Approach),49,13,31,0,0,0,243510,244512,246838,2326
p4,B(Approach),50,34,34,1,1,1,247765,248767,250845,2078
p4,B(Approach),51,24,24,1,1,1,251647,252652,254300,1648
p4,B(Approach),52,23,23,1,1,1,255231,256232,258669,2437
p4,B(Approach),53,13,13,1,1,1,259542,260544,262204,1660
p4,B(Approach),54,12,32,0,0,1,263045,264048,265828,1780
p4,B(Approach),55,13,31,0,0,0,266742,267744,269357,1613
p4,B(Approach),56,32,32,1,1,1,270134,271136,273428,2292
p4,B(Approach),57,34,34,1,1,1,274333,275335,276956,1621
p4,B(Approach),58,31,31,1,1,1,277901,278903,280405,1502
p4,B(Approach),59,23,43,0,0,1,281269,282273,284044,1771
p4,B(Approach),60,34,34,1,1,1,284910,285912,287772,1860
