id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp,reactionTime
p12,C(Baseline2),1,14,13,0,1,0,3502,4508,6030,1522
p12,C(Baseline2),2,42,42,1,1,1,8799,9803,13190,3387
p12,C(Baseline2),3,13,13,1,1,1,14351,15353,18030,2677
p12,C(Baseline2),4,43,43,1,1,1,19598,20600,23078,2478
p12,C(Baseline2),5,14,14,1,1,1,24214,25216,28350,3134
p12,C(Baseline2),6,23,23,1,1,1,29422,30424,32421,1997
p12,C(Baseline2),7,14,14,1,1,1,33390,34392,37261,2869
p12,C(Baseline2),8,12,12,1,1,1,38327,39329,42605,3276
p12,C(Baseline2),9,34,34,1,1,1,43590,44592,46694,2102
p12,C(Baseline2),10,23,23,1,1,1,47750,48753,50717,1964
p12,C(Baseline2),11,24,24,1,1,1,52590,53592,55813,2221
p12,C(Baseline2),12,32,32,1,1,1,57119,58121,61950,3829
p12,C(Baseline2),13,34,34,1,1,1,63006,64008,65893,1885
p12,C(Baseline2),14,41,41,1,1,1,66766,67768,69830,2062
p12,C(Baseline2),15,31,31,1,1,1,70727,71729,73470,1741
p12,C(Baseline2),16,24,24,1,1,1,74358,75360,76838,1478
p12,C(Baseline2),17,21,21,1,1,1,77719,78721,80078,1357
p12,C(Baseline2),18,43,41,0,1,0,80927,81928,83365,1437
p12,C(Baseline2),19,43,43,1,1,1,84318,85320,87357,2037
p12,C(Baseline2),20,41,42,0,1,0,88255,89257,91182,1925
p12,C(Baseline2),21,31,32,0,1,0,122671,123678,126934,3256
p12,C(Baseline2),22,32,34,0,1,0,128590,129592,131478,1886
p12,C(Baseline2),23,42,42,1,1,1,132422,133427,135397,1970
p12,C(Baseline2),24,42,42,1,1,1,136366,137368,140262,2894
p12,C(Baseline2),25,23,23,1,1,1,141262,142264,144862,2598
p12,C(Baseline2),26,12,12,1,1,1,145782,146784,148823,2039
p12,C(Baseline2),27,32,32,1,1,1,149734,150737,152718,1981
p12,C(Baseline2),28,31,31,1,1,1,153590,154592,156997,2405
p12,C(Baseline2),29,13,23,0,0,1,158038,159040,160773,1733
p12,C(Baseline2),30,43,43,1,1,1,161750,162752,164973,2221
p12,C(Baseline2),31,43,43,1,1,1,166134,167136,169998,2862
p12,C(Baseline2),32,34,34,1,1,1,171366,172368,174125,1757
p12,C(Baseline2),33,34,34,1,1,1,175038,176040,178157,2117
p12,C(Baseline2),34,14,14,1,1,1,179286,180288,183846,3558
p12,C(Baseline2),35,13,13,1,1,1,184726,185728,188774,3046
p12,C(Baseline2),36,13,13,1,1,1,189750,190753,192830,2077
p12,C(Baseline2),37,42,42,1,1,1,193871,194873,197006,2133
p12,C(Baseline2),38,21,21,1,1,1,197910,198912,200957,2045
p12,C(Baseline2),39,41,41,1,1,1,201926,202928,208477,5549
p12,C(Baseline2),40,13,13,1,1,1,209327,210328,212086,1758
p12,C(Baseline2),41,21,21,1,1,1,244454,245459,247877,2418
p12,C(Baseline2),42,23,43,0,0,1,249334,250336,252205,1869
p12,C(Baseline2),43,31,31,1,1,1,253262,254264,256294,2030
p12,C(Baseline2),44,23,43,0,0,1,257598,258602,260829,2227
p12,C(Baseline2),45,34,34,1,1,1,261925,262927,264870,1943
p12,C(Baseline2),46,41,41,1,1,1,266014,267017,268886,1869
p12,C(Baseline2),47,24,23,0,1,0,269910,270913,273333,2420
p12,C(Baseline2),48,21,21,1,1,1,274447,275448,277022,1574
p12,C(Baseline2),49,31,32,0,1,0,278014,279016,281269,2253
p12,C(Baseline2),50,32,34,0,1,0,282511,283512,285693,2181
p12,C(Baseline2),51,32,34,0,1,0,286815,287816,289501,1685
p12,C(Baseline2),52,21,41,0,0,1,290543,291545,293973,2428
p12,C(Baseline2),53,14,14,1,1,1,294918,295921,297397,1476
p12,C(Baseline2),54,41,41,1,1,1,298430,299432,301061,1629
p12,C(Baseline2),55,12,12,1,1,1,302062,303064,304357,1293
p12,C(Baseline2),56,12,12,1,1,1,305887,306888,308565,1677
p12,C(Baseline2),57,42,42,1,1,1,309558,310560,313774,3214
p12,C(Baseline2),58,24,24,1,1,1,314902,315904,318189,2285
p12,C(Baseline2),59,24,24,1,1,1,319966,320969,326365,5396
p12,C(Baseline2),60,12,12,1,1,1,327487,328488,332621,4133
